region,year,pop,pop2564,entrants,gdppc,gdp,gross_cur,gross_con,net_cur,net_con,inv_cur,inv_con,tert_stock
india,1960,562663672.9999999,214896008.0,9567253.6,1166.6122020900386,656410306594.5992,1018977206742.9163,6955053962863.966,113579358022.50182,775238699047.022,47751649080.7323,325930054150.88544,0.005958698171886295
india,1965,634743368.0,236995908.0,10190542.8,1217.5621765230749,772839516675.6671,1194786112642.784,7813786970602.719,144566717349.8612,945452512761.908,56234027708.57482,367765165969.2046,0.0098861392045063
india,1970,711535070.0,258617185.00000003,11494563.6,1370.6684270342894,975278655176.6329,1481626416000.58,8607337899785.819,196498462341.3011,1141535169658.6213,75415708599.04565,438118867113.6077,0.012009869914450778
india,1975,799327648.9999999,284486973.0,14147444.4,1390.827993072243,1111727269865.8242,1701796192452.4832,9743089086946.309,274315294672.46335,1570504368125.3647,97243383318.20291,556735848268.6074,0.016934067310185465
india,1980,901830106.0,324521979.99999994,16461887.6,1476.7866580086989,1331810668331.3706,2140434803130.7986,11541089073162.732,434766405270.519,2344232957671.2676,125138782513.61542,674740400120.7131,0.02666783340866727
india,1985,1016278171.0000001,372483004.0,18405168.8,1706.1381486635155,1733910957197.0837,2963706262593.984,13831953273316.664,671944236078.2944,3136039962197.3994,168588701142.92868,786822589691.1703,0.03477899112533404
india,1990,1141498260.9999998,427543370.00000006,20295664.2,2025.6633743292316,2312291219168.2095,4203771143173.0254,16524728695363.934,1051673709404.0632,4134055383146.2124,232569492447.1582,914214317244.4337,0.046043939367838425
india,1995,1275163650.9999995,488594576.0,22855852.8,2293.008872724773,2923961565919.1147,5646239117127.191,19607222641442.414,1488255320864.5144,5168139857022.0205,304683307102.2388,1058048253635.4462,0.06257700631671684
india,2000,1412194941.0,557625377.0,25694595.8,2659.194372138157,3755300839469.177,7816659313068.719,23406347574619.867,2249640150584.251,6736363601565.635,418066211602.38403,1251865108360.2559,0.08831900638692958
india,2005,1546744179.0000002,632510105.9999999,28962699.2,3280.3238482367,5073821817494.996,11258312468661.678,27328709604060.227,3333552331334.4336,8091948404040.55,606540621768.8654,1472331893570.0056,0.09230759480515245
india,2010,1672490154.0,717629976.0,31537223.4,4279.924866359605,7158132198846.206,17167849748333.904,31940543931864.406,5379652584622.991,10008768263713.06,857883543197.2048,1596080313003.2654,0.09731864095500461
india,2015,1789252695.9999998,805233144.0,33119630.4,5450.692243351361,9752665791482.709,24945445570614.03,36441995743496.31,8195446445958.506,11972463015513.11,1177153261715.8635,1719665180221.3684,0.09284733185404752
india,2020,1895786947.9999995,887226377.0000001,34630966.0,6224.2382655032425,11799829664983.203,32049692517463.05,41001543604856.56,9807941268711.268,12547413095580.277,1436909176168.0679,1838254585774.0144,0.07297272336640048
india,2025,1986859344.0,969005757.9999999,35751172.4,7962.740251283043,15820844872106.623,46219583485324.125,46219583485324.125,14704546582035.88,14704546582035.88,1940221872850.7585,1940221872850.7585,0.07736962188521998
latam,1925,98103373.0,35685185.9232972,1784740.7434781282,2576.7066723676708,252783615790.8744,391856257614.1778,2159659417401.3184,,,19871499112.965034,109518909965.8368,0.008412262909689312
latam,1930,109927060.0,39986062.192799896,1999842.5823010677,2687.601453505929,295440126235.6335,464894569899.33374,2456479076305.3936,,,23713657634.397663,125301751350.16351,0.009547396109449718
latam,1935,117998886.0,42922195.8112689,2146688.876122852,2708.0484895344343,319546704999.0459,509768803083.6735,2673254339699.861,,,26059400035.00577,136656860545.6998,0.010769520253511064
latam,1940,132024936.0,48024183.507649764,2401857.094498599,2984.415218025072,394017228157.1862,634642717090.8274,3019906645458.1387,,,32481804102.06915,154562580523.9793,0.011313254425954386
latam,1945,145967473.0,53095793.27877813,2655506.0067674085,3162.998768697224,461694937368.8453,751106421930.399,3372297770243.98,,,38581007281.488785,173219987248.60815,0.012206225274991395
latam,1950,167782258.00000003,61030939.99999999,3052370.4,3678.345900154525,617161180832.9689,1009880328334.4966,3898888442804.31,160504078660.97528,619665003621.057,52813399273.21029,203898963346.60117,0.012477726033632739
latam,1955,191408190.0,69336558.0,3316258.4000000004,4142.642808671353,792935761824.3,1307956997965.1353,4483729872451.711,246521814070.90173,845086821417.1619,66551906651.02482,228142647184.9282,0.014142665215624725
latam,1960,219267968.99999997,78158842.0,3635177.8,4698.252237604137,1030176225989.1644,1698358199439.0745,5133533802614.218,358435663761.41205,1083423742170.1692,85683153041.78252,258989748216.7376,0.016547060550095728
latam,1965,251412710.00000003,87769078.00000001,4148980.4,5296.234806955647,1331540745613.0464,2195482273099.6702,5886893332765.608,509137615918.0466,1365184712867.8945,114368153061.06259,306662971496.1586,0.02080523679890883
latam,1970,285741023.99999994,98651809.00000001,4931636.4,6193.177484671918,1769644876283.8977,2961185291248.7,6790089836857.065,737044515855.3062,1690065964872.4536,164416486918.5329,377012110703.3116,0.026896635199221114
latam,1975,321910320.00000006,112033566.99999999,5866706.0,7398.275239630482,2381581149837.526,4134851081011.9863,7936935507564.794,1124857513583.1323,2159188170405.3875,241209669338.24908,463007143867.9612,0.04330180352725754
latam,1980,360493240.0,128773989.0,6792803.6,8611.506987434303,3104390055182.831,5722655814889.672,9437173316702.115,1771023914415.398,2920577467698.8047,334728539845.3572,551997419860.2344,0.059749864110002084
latam,1985,400865415.0,149955408.0,7712081.2,8035.39882290133,3221113483832.853,6429314227745.323,11362677434773.256,2121332749431.77,3749080992121.1226,363933078877.8747,643187443738.2045,0.07274346841404522
latam,1990,441884738.9999999,173659678.99999994,8254392.0,8054.830213399633,3559306546537.41,7716546262264.393,13604733434925.969,2672335694932.141,4711487956209.149,398089718381.6245,701856026996.3926,0.0888321903180335
latam,1995,482311124.0,198298928.0,8925770.2,9063.72296056018,4371534408732.388,10276025727051.547,16100598620407.934,3672243596188.1196,5753714689808.671,502536864832.36127,787380702183.7421,0.10526653893056562
latam,2000,521323409.9999999,224183726.0,9606953.8,10132.749563786065,5282439555268.963,13433789846838.887,18827588779231.473,4964451196097.651,6957727246022.433,622850763892.7251,872931480029.2083,0.11828947207534682
latam,2005,556212233.0000001,250993604.99999997,10203061.0,11286.042111656552,6277434684656.527,17431962636316.887,21934517370748.773,6518664752683.326,8202390530251.304,753943900900.3309,948682367894.4337,0.13392054048287952
latam,2010,588907904.0,278588434.0,10548073.4,13356.441901831062,7865714205305.1045,23665777644328.633,25162481197135.156,8819896398307.617,9377696377379.756,941581867735.0931,1001130679013.4346,0.15469169208063266
latam,2015,620042668.9999999,304817349.00000006,10739800.0,14328.67732126639,8884391329517.781,28162392223103.72,27911739498185.69,10543034531596.373,10449198741180.764,1055401614643.2406,1046008261674.5892,0.15342975842330053
