region,year,agegrp,pop_thousands,series
china,1976,95-99,6.906,estimate
china,1977,0-4,116345.796,estimate
china,1977,10-14,129906.581,estimate
china,1977,100+,0.164,estimate
china,1977,15-19,83561.411,estimate
china,1977,20-24,97222.102,estimate
china,1977,25-29,77863.724,estimate
china,1977,30-34,55285.759,estimate
china,1977,35-39,49641.412,estimate
china,1977,40-44,48285.872,estimate
china,1977,45-49,41743.835,estimate
china,1977,5-9,136876.44,estimate
china,1977,50-54,35642.293,estimate
china,1977,55-59,29421.093,estimate
china,1977,60-64,24236.972,estimate
china,1977,65-69,17447.664,estimate
china,1977,70-74,11923.556,estimate
china,1977,75-79,6409.09,estimate
china,1977,80-84,2751.705,estimate
china,1977,85-89,754.889,estimate
china,1977,90-94,120.309,estimate
china,1977,95-99,7.833,estimate
china,1978,0-4,109560.536,estimate
china,1978,10-14,130174.822,estimate
china,1978,100+,0.204,estimate
china,1978,15-19,89605.762,estimate
china,1978,20-24,97631.1,estimate
china,1978,25-29,83329.614,estimate
china,1978,30-34,58289.567,estimate
china,1978,35-39,49791.23,estimate
china,1978,40-44,48576.193,estimate
china,1978,45-49,42846.878,estimate
china,1978,5-9,136322.475,estimate
china,1978,50-54,36600.379,estimate
china,1978,55-59,30205.65,estimate
china,1978,60-64,24714.097,estimate
china,1978,65-69,17986.348,estimate
china,1978,70-74,12237.746,estimate
china,1978,75-79,6803.758,estimate
china,1978,80-84,2890.556,estimate
china,1978,85-89,817.465,estimate
china,1978,90-94,132.343,estimate
china,1978,95-99,8.768,estimate
china,1979,0-4,104544.734,estimate
china,1979,10-14,130598.317,estimate
china,1979,100+,0.237,estimate
china,1979,15-19,100107.749,estimate
china,1979,20-24,94989.094,estimate
china,1979,25-29,87999.459,estimate
china,1979,30-34,61976.392,estimate
china,1979,35-39,50332.136,estimate
china,1979,40-44,48411.46,estimate
china,1979,45-49,44051.478,estimate
china,1979,5-9,132902.654,estimate
china,1979,50-54,37396.266,estimate
china,1979,55-59,31223.356,estimate
china,1979,60-64,25030.332,estimate
