region,year,lu,lp,ls,lh,cov_pop,source
seasia,1880,98.81161342847565,1.1010535893874813,0.08467027441214502,0.0,20881.0,leelee
seasia,1885,98.5190088558905,1.376545308167099,0.10180248680561767,0.0,22358.0,leelee
seasia,1890,98.21788566624632,1.65,0.13474148802017658,0.0,23790.0,leelee
seasia,1895,97.64205198358412,2.1858549931600546,0.17509869063904634,0.0,25585.0,leelee
seasia,1900,96.94056061157626,2.828642155078267,0.24483800509646886,0.009100837277029487,27470.0,leelee
seasia,1905,96.38482425397258,3.1992344074313515,0.3781891183776243,0.03332199122120521,29389.0,leelee
seasia,1910,94.69913223799648,4.608320306268942,0.6347296219492743,0.05761365449034934,31345.0,leelee
seasia,1915,93.08732575916547,5.888680715848796,0.9061932312119668,0.0979795557420786,33359.0,leelee
seasia,1920,91.68028707321217,7.088624653190646,1.0848649566842195,0.13593228016533607,35322.0,leelee
seasia,1925,89.41830911492734,8.95035138705416,1.420549537648613,0.19656274768824308,37850.0,leelee
seasia,1930,87.36818159412432,10.543786661408783,1.847831123379504,0.2544363385419234,40574.0,leelee
seasia,1935,84.55520468097461,12.779585501485137,2.331245952162941,0.328737968153293,44777.0,leelee
seasia,1940,82.61350357423248,14.41626172472212,2.6075554729143424,0.3918061237138961,48402.0,leelee
seasia,1945,78.62527510917032,17.808329936923823,3.1076254245511885,0.4585735080058224,51525.0,leelee
seasia,1950,75.02980662779541,20.837342239279653,3.5560096686102294,0.524824710310724,54196.0,leelee
seasia,1955,68.39057774655426,26.499652080824305,4.120763080422855,0.9977853606316072,59784.0,leelee
seasia,1960,65.21996711509718,29.17621225710015,4.557614349775784,1.0596860986547085,66900.0,leelee
seasia,1965,56.945890010627,35.795352019128586,5.833598565356004,1.3789253453772583,75280.0,leelee
seasia,1970,47.94971763502989,42.83852528206775,7.256326758687923,1.9518184304074377,84111.0,leelee
seasia,1975,41.38393790117928,46.69117672147228,9.466410764932933,2.4662060435459447,93786.0,leelee
seasia,1980,33.9776189450216,50.567012955382154,11.981661998482451,3.488055381214227,106751.0,leelee
seasia,1985,33.59548411106077,46.30104685780856,15.607653226328393,4.540916445537506,123608.0,leelee
seasia,1990,35.3793690556769,40.87408048343091,17.75823988723667,5.854757900759895,143309.0,leelee
seasia,1995,26.119692022218736,46.335743375947374,21.033680551371802,6.526438976781174,165986.0,leelee
seasia,2000,19.36237869722404,51.965123998393196,21.158076280682465,7.4732182498572906,189196.0,leelee
seasia,2005,12.97077680829123,50.11253902405718,26.935325777302715,9.951817355640419,212369.0,leelee
seasia,2010,6.741940165027081,45.8828476452424,35.04727021919241,12.281472419553516,237052.0,leelee
ssa,1870,98.81523990334829,1.1804107697618227,0.001061442871936486,0.0,11588.0,leelee
ssa,1875,98.47799551606742,1.5118159926928503,0.0010960724072075064,0.0,12043.0,leelee
ssa,1880,98.1259617691754,1.871782772134688,0.0011277293449572104,0.0,12503.0,leelee
ssa,1885,97.72557584161468,2.27331484477313,0.0022186272244048995,0.0,12981.0,leelee
ssa,1890,97.21239319414519,2.78271045397132,0.002199271862694108,0.0,13459.0,leelee
ssa,1895,96.52612025769506,3.449799570508232,0.01576234788833214,0.0,13970.0,leelee
ssa,1900,95.9401725923369,4.007545736969278,0.03244045564376941,0.0010355540214014498,14485.0,leelee
ssa,1905,95.71002993016295,4.2356967076820755,0.04798802793481876,0.008393747921516462,15035.0,leelee
ssa,1910,94.78382192571685,5.062242606966451,0.12742318301366348,0.023888639425235746,15589.0,leelee
ssa,1915,94.18998850644245,5.592710664811566,0.16260359324904725,0.043330711995644554,16531.0,leelee
ssa,1920,92.85041317636406,6.141594973964229,0.8615010187910347,0.135872764319674,17668.0,leelee
ssa,1925,91.0010345925297,7.198047538200339,1.5315365025466894,0.2229944821731749,18848.0,leelee
ssa,1930,89.14701415764463,8.320771077254692,2.1705873707931223,0.30324303140155784,20413.0,leelee
ssa,1935,87.06308514977115,9.446399601214484,3.036216975574387,0.4222685457923597,22067.0,leelee
ssa,1940,84.92408379215418,10.70533809359945,3.798240708878183,0.5323554714384032,23248.0,leelee
ssa,1945,82.54112989008391,12.310207619272742,4.513662687625576,0.6485639995272426,25383.0,leelee
