region,year,agefrom,ageto,lu,lp,ls,lh,cov_pop,source
russia,1980,25,34,0.30948819720075205,7.903160344981945,70.75699991047182,21.025970336327553,33509.0,bl-v3
russia,1980,35,44,1.7319078476299585,23.81545145353,56.96559107833309,17.480582128025205,27932.0,bl-v3
russia,1980,45,54,7.106110542115487,39.8121246689034,41.42779021719936,11.65413844252163,28315.0,bl-v3
russia,1980,55,64,19.63331054461182,40.42324855156431,31.427815179606025,8.515531286210893,17260.0,bl-v3
russia,1985,15,24,1.6449571253572888,5.031644694627545,68.30234235548038,25.029682377646854,34286.0,bl-v3
russia,1985,25,34,0.3102691994857398,3.448786240915174,68.49469577309578,27.752484454123262,38113.0,bl-v3
russia,1985,35,44,0.808507385021815,9.821832846335509,62.28926309890724,27.086238642276744,24983.0,bl-v3
russia,1985,45,54,4.449014597286622,30.99412536493216,45.34390073845097,19.213624935600205,29115.0,bl-v3
russia,1985,55,64,12.193801189180135,37.875775898165976,36.84250230298969,13.085983167238926,23882.0,bl-v3
russia,1990,15,24,1.3406020829481728,5.908038762556234,74.15999907561472,18.59820884944845,32454.0,bl-v3
russia,1990,25,34,0.39979371213703774,1.6816001671192815,60.36598835387508,37.56839957175685,38296.0,bl-v3
russia,1990,35,44,0.4351461303932741,4.0143096917249235,57.064416248344685,38.486127929537126,32471.0,bl-v3
russia,1990,45,54,2.490218911174785,19.27555835721108,49.72630105062082,28.499028462273163,26175.0,bl-v3
russia,1990,55,64,9.825291479820628,37.95046804932736,34.99151505445228,17.22978899743754,24976.0,bl-v3
russia,1995,15,24,0.9234137237175934,5.900769881309966,72.43558776355313,20.73921174652241,34291.0,bl-v3
russia,1995,25,34,0.29557277567897194,1.0374337388821133,56.14864384091382,42.51244102686142,33617.0,bl-v3
russia,1995,35,44,0.3071500948252506,1.6817553508534273,55.57459468978597,42.43601815226226,36910.0,bl-v3
russia,1995,45,54,0.7551242690058481,6.309812951496388,53.26435500515995,39.6772385620915,23256.0,bl-v3
russia,1995,55,64,4.881003029945303,25.297022783614686,43.66522488490142,26.159141777830246,25413.0,bl-v3
russia,2000,15,24,0.4285410837973652,4.570410158902621,71.65588374303952,23.310209425505903,36815.0,bl-v3
russia,2000,25,34,0.2880895436716732,1.0600621831053285,48.900010842182475,49.685048630377246,31359.0,bl-v3
russia,2000,35,44,0.29107464412566425,0.8912285580550126,46.680080123351416,52.131262975302185,36319.0,bl-v3
russia,2000,45,54,0.24052797772647022,1.823623523020508,47.655819978269726,50.18224263207932,29452.0,bl-v3
russia,2000,55,64,0.9917427629499166,11.580905026419183,47.84696156798989,39.47454455132547,22143.0,bl-v3
russia,2005,15,24,0.27562218578381625,7.873949923219073,58.288956039665806,33.55940735535255,38421.0,bl-v3
russia,2005,25,34,0.3500789787859307,1.20913919245722,48.144750665809525,50.3120292650075,32667.0,bl-v3
russia,2005,35,44,0.3049685953559193,0.7827686841771349,43.882794378885926,55.036236200989734,31524.0,bl-v3
russia,2005,45,54,0.272213107365005,1.2002773520838967,45.69563869106644,52.831912016587026,33279.0,bl-v3
russia,2005,55,64,0.4400618293306081,4.978210015329586,46.11938886050076,48.45808124680633,19570.0,bl-v3
russia,2010,15,24,0.45063906607293297,7.372325791310627,54.874288422192805,37.39834185822602,33236.0,bl-v3
russia,2010,25,34,0.4222351450944266,1.950362160294795,40.67012033625058,57.04001093965914,34736.0,bl-v3
russia,2010,35,44,0.35873135099748477,0.7837170519932467,41.504204251800296,57.42614857182236,29023.0,bl-v3
russia,2010,45,54,0.3025587396029385,0.8418347398457896,42.73820715196406,56.17013842511079,32942.0,bl-v3
russia,2010,55,64,0.31735656473027385,2.353186874526534,44.05148239703361,53.3394430046649,25081.0,bl-v3
russia,2015,15,24,1.3738372541457773,8.03000539915156,53.08334670266102,37.620626301581176,25930.0,bl-v3
russia,2015,25,34,0.4739165401720326,3.5115528214960987,37.59117307128971,58.40746904210274,37551.0,bl-v3
russia,2015,35,44,0.3997424562752258,1.0426535972836184,42.672221154462164,55.87126625664681,31218.0,bl-v3
russia,2015,45,54,0.333034236075626,0.717198432975643,41.082335888264346,57.86668915005962,29355.0,bl-v3
russia,2015,55,64,0.3047622686069531,1.3015097419511688,43.151715000173645,55.23170353905463,28793.0,bl-v3
seasia,1950,15,24,50.58039153863793,37.693938890162805,11.201169456546664,0.5083378238936024,34888.0,bl-v3
seasia,1950,25,34,63.718376615769145,30.241595657437422,5.3859464209005345,0.6540918498847972,25607.0,bl-v3
seasia,1950,35,44,72.32481724927797,22.689571755801218,4.4514495568170505,0.5343745642864257,20082.0,bl-v3
seasia,1950,45,54,77.54933892059822,18.600162560508632,3.4565110902391445,0.39192399393107435,13841.0,bl-v3
seasia,1950,55,64,83.94026925207756,13.58467700831025,2.234581717451524,0.2412686980609418,9025.0,bl-v3
seasia,1955,15,24,46.04841545616052,41.318865868951825,11.764274480091967,0.8766979308182673,38276.0,bl-v3
